구별,읍면동,탑승량
북구,각화동,417480
북구,금곡동,32076
북구,누문동,149979
북구,대촌동,64429
북구,동림동,1074791
북구,두암동,2711833
북구,망월동,40914
북구,매곡동,1019360
북구,문흥동,1309328
북구,본촌동,163231
북구,북동,646011
북구,삼각동,1046803
북구,생용동,41408
북구,수곡동,7385
북구,신안동,1646857
북구,신용동,453246
북구,양산동,1269707
북구,연제동,134489
북구,오룡동,180504
북구,오치동,1847263
북구,용강동,272
북구,용두동,472422
북구,용봉동,2820338
북구,용전동,50907
북구,우산동,1379210
북구,운암동,4495731
북구,운정동,14709
북구,월출동,65877
북구,유동,338992
북구,일곡동,1582633
북구,임동,295487
북구,장등동,23932
북구,중흥동,1394042
북구,지야동,18093
북구,청풍동,16138
북구,충효동,14991
북구,태령동,9132
북구,풍향동,559682
북구,화암동,8667
북구,효령동,48435
남구,구동,61016
남구,구소동,1186
남구,노대동,399668
남구,대지동,5538
남구,덕남동,29845
남구,도금동,1220
남구,방림동,701244
남구,백운동,999157
남구,봉선동,1592151
남구,사동,1938
남구,서동,304242
남구,석정동,1254
남구,송하동,668846
남구,승촌동,7583
남구,신장동,6647
남구,압촌동,197
남구,양과동,4537
남구,양림동,44982
남구,양촌동,3724
남구,원산동,6639
남구,월산동,1593418
남구,월성동,7704
남구,이장동,12869
남구,임암동,169758
남구,주월동,2322827
남구,지석동,75592
남구,진월동,2041348
남구,칠석동,4255
남구,행암동,402529
남구,화장동,2722
광산구,고룡동,56980
광산구,광산동,2211
광산구,남산동,7529
광산구,내산동,2417
광산구,대산동,5478
광산구,덕림동,814
광산구,도덕동,6045
광산구,도산동,425853
광산구,도천동,134233
광산구,동림동,4943
광산구,동산동,4203
광산구,동호동,3893
광산구,두정동,332
광산구,등임동,2256
광산구,명도동,3077
광산구,명화동,2115
광산구,박호동,7890
광산구,복룡동,9180
광산구,본덕동,751
광산구,북산동,4423
광산구,비아동,112593
광산구,사호동,916
광산구,산막동,2375
광산구,산수동,3055
광산구,산월동,603965
광산구,산정동,348151
광산구,삼거동,759
광산구,삼도동,1553
광산구,서봉동,266821
광산구,선동,3795
광산구,선암동,223004
광산구,소촌동,1013325
광산구,송대동,4331
광산구,송산동,1201
광산구,송정동,2687403
광산구,송촌동,678
광산구,송치동,6316
광산구,송학동,294
광산구,수완동,1086653
광산구,신가동,1776888
광산구,신동,823
광산구,신룡동,2934
광산구,신창동,1309390
광산구,신촌동,1514941
광산구,쌍암동,639345
광산구,안청동,84904
광산구,양동,482
광산구,양산동,1996
광산구,연산동,2027
광산구,오산동,30
광산구,오선동,99589
광산구,오운동,806
광산구,옥동,43088
광산구,요기동,830
광산구,용곡동,3953
광산구,용동,3571
광산구,용봉동,4978
광산구,우산동,1590082
광산구,운남동,1517877
광산구,운수동,126282
광산구,월계동,2145131
광산구,월곡동,1646173
광산구,월전동,528587
광산구,유계동,16889
광산구,임곡동,12698
광산구,장덕동,632374
광산구,장록동,9113
광산구,장수동,8027
광산구,지산동,2423
광산구,지죽동,576
광산구,지평동,4659
광산구,진곡동,8386
광산구,하남동,402603
광산구,하산동,9058
광산구,황룡동,13685
광산구,흑석동,128409
서구,광천동,3574914
서구,금호동,2255126
서구,내방동,1044811
서구,농성동,482785
서구,덕흥동,15400
서구,동천동,700518
서구,마륵동,1460263
서구,매월동,294127
서구,벽진동,62705
서구,서창동,9634
서구,세하동,10619
서구,쌍촌동,3238296
서구,양동,1068243
서구,용두동,4444
서구,유촌동,291207
서구,치평동,2431469
서구,풍암동,1846432
서구,화정동,3450385
동구,계림동,893669
동구,광산동,1451490
동구,궁동,383330
동구,금남로,3049215
동구,금동,1847
동구,남동,268186
동구,내남동,36696
동구,대인동,357222
동구,동명동,1143745
동구,불로동,1094
동구,산수동,783602
동구,서석동,771934
동구,선교동,8993
동구,소태동,703381
동구,수기동,3121
동구,용산동,147728
동구,용연동,4911
동구,운림동,537802
동구,월남동,177081
동구,장동,142395
동구,지산동,586019
동구,충장동,71669
동구,학동,4763063
동구,호남동,497533
동구,황금동,446089
