동별(1),동별(2),세대수 (세대),등록인구 (명),평균연령 (세),인구밀도 (명/㎢),인구밀도 (명/㎢)
동구,충장동,3332,4613,47.4,4082,1.13
동구,동명동,2393,4064,48.8,9451,0.43
동구,계림1동,5664,10382,44.3,16479,0.63
동구,계림2동,3327,7883,44.5,14077,0.56
동구,산수1동,4558,8921,45.9,11437,0.78
동구,산수2동,4656,10442,47.2,12581,0.83
동구,지산1동,2415,4734,45.4,4687,1.01
동구,지산2동,2477,5006,46,3129,1.6
동구,서남동,2276,3595,45.7,2605,1.38
동구,학동,3793,8203,43.7,4317,1.9
동구,학운동,5194,11996,49,1183,10.14
동구,지원1동,3658,8040,45.9,6045,1.33
동구,지원2동,7286,16631,41.5,603,27.59
서구,양동,2258,4045,54.4,7491,0.54
서구,양3동,2206,4797,45.6,16541,0.29
서구,농성1동,6025,11157,46.3,14680,0.76
서구,농성2동,2970,5160,47.6,8063,0.64
서구,광천동,4376,8698,45.4,7697,1.13
서구,유덕동,4679,10894,39.8,1984,5.49
서구,치평동,13367,30765,40.2,9408,3.27
서구,상무1동,11996,25270,40.4,18581,1.36
서구,상무2동,12737,24241,44.7,13033,1.86
서구,화정1동,8398,15935,43.2,13279,1.2
서구,화정2동,8042,20991,39.5,25915,0.81
서구,화정3동,4544,10349,44.6,13985,0.74
서구,화정4동,6474,15880,43.9,15880,1
서구,서창동,2756,6018,46.4,306,19.65
서구,금호1동,8835,20665,43.8,11110,1.86
서구,금호2동,10450,29175,38.2,24313,1.2
서구,풍암동,14978,37718,39.1,7891,4.78
서구,동천동,6282,16465,38.8,13953,1.18
남구,양림동,3293,7353,46.3,11671,0.63
남구,방림1동,3084,7086,43.9,12010,0.59
남구,방림2동,4116,9186,47.2,18012,0.51
남구,봉선1동,6696,14151,44.4,17049,0.83
남구,봉선2동,9954,29286,38.7,16270,1.8
남구,사직동,3058,5471,48.9,8969,0.61
남구,월산동,4043,7541,49.8,8109,0.93
남구,월산4동,4792,8953,47.8,15707,0.57
남구,월산5동,3505,6592,48.4,14982,0.44
남구,백운1동,5228,12573,44.3,25659,0.49
남구,백운2동,3281,6390,45.1,14523,0.44
남구,주월1동,8483,19677,43,15494,1.27
남구,주월2동,4056,8405,46.6,7246,1.16
남구,효덕동,18697,46498,40.7,5522,8.42
남구,송암동,7808,20602,36.5,2986,6.9
남구,대촌동,3201,6268,51.1,177,35.4
북구,중흥1동,3100,5097,44.7,9617,0.53
북구,중흥2동,3716,6947,46.1,13622,0.51
북구,중흥3동,2837,4989,44.4,9239,0.54
북구,중앙동,2109,3298,49.8,4997,0.66
북구,임동,3734,7991,45.7,6342,1.26
북구,신안동,6765,11936,45.5,9626,1.24
북구,용봉동,17213,40323,41.2,12842,3.14
북구,운암1동,7349,19547,41.3,18795,1.04
북구,운암2동,6077,12504,46.8,10420,1.2
북구,운암3동,5183,13225,42.6,10332,1.28
북구,동림동,9820,23870,40.7,7277,3.28
북구,우산동,5756,10803,50.2,11372,0.95
북구,풍향동,2853,6036,43,9009,0.67
북구,문화동,8825,19119,44.6,6031,3.17
북구,문흥1동,6449,16497,42.3,7709,2.14
북구,문흥2동,7325,16372,42.8,20465,0.8
북구,두암1동,3978,8018,47.7,9433,0.85
북구,두암2동,7626,16537,45.5,10084,1.64
북구,두암3동,7909,13960,50.6,13423,1.04
북구,삼각동,5994,14473,40.4,4320,3.35
북구,일곡동,11399,30611,38.5,16727,1.83
북구,매곡동,5428,14164,40.6,7574,1.87
북구,오치1동,5489,11573,43.4,5309,2.18
북구,오치2동,6937,12798,47.2,17064,0.75
북구,석곡동,1456,2697,53.7,56,48.39
북구,건국동,9213,23207,38.4,880,26.38
북구,양산동,16152,38637,39,4979,7.76
북구,신용동,11305,29834,34.8,16392,1.82
광산구,송정1동,4901,11420,42.9,7986,1.43
광산구,송정2동,3435,6796,47,5961,1.14
광산구,도산동,6710,16014,40.4,4004,4
광산구,신흥동,2071,4784,44.5,884,5.41
광산구,어룡동,13725,34111,38,1910,17.86
광산구,우산동,13992,28193,42.2,6183,4.56
광산구,월곡1동,5021,12618,41.9,14672,0.86
광산구,월곡2동,6708,19277,40.5,17212,1.12
광산구,비아동,3366,7807,41.1,1587,4.92
광산구,첨단1동,10226,27728,38.5,12490,2.22
광산구,첨단2동,18043,44613,37.1,12931,3.45
광산구,신가동,7226,19308,36.3,12143,1.59
광산구,운남동,12217,31860,38.5,11179,2.85
광산구,신창동,13625,35460,33.9,8910,3.98
광산구,수완동,28012,78622,35.8,17055,4.61
광산구,하남동,9124,25015,57,1623,15.41
광산구,임곡동,1272,2208,56.4,74,29.82
광산구,동곡동,1066,2002,52.9,129,15.49
광산구,평동,2522,5318,57.2,178,29.87
광산구,삼도동,1393,2321,58.6,60,38.73
광산구,본량동,1233,2082,35.2,62,33.47
남구,진월동,,29488,40.8,10989,
