구별,동별,소상공인카페수,소상공인편의점수,나이스 카페,나이스 편의점,나이스카페유동인구
동구,충장동,196,21,129,24,256810
동구,계림1동,27,16,19,10,25614
동구,계림2동,20,9,20,9,11302
동구,산수1동,27,3,17,5,10898
동구,산수2동,12,5,10,5,10483
동구,지원2동,23,6,18,6,6695
동구,학운동,30,13,24,5,15290
동구,지원1동,9,4,11,9,12483
동구,학동,29,11,20,6,24019
동구,서남동,61,23,52,19,43123
동구,지산2동,27,3,17,9,11314
동구,지산1동,34,10,36,8,10436
동구,동명동,97,5,65,9,11431
북구,건국동,75,32,71,29,13372
북구,동림동,12,14,13,9,15685
북구,두암1동,20,8,14,7,12263
북구,두암2동,31,14,24,11,13819
북구,두암3동,13,11,16,11,14390
북구,매곡동,25,7,21,5,17185
북구,문화동,13,9,12,10,16424
북구,문흥1동,20,9,19,5,16293
북구,문흥2동,15,10,9,10,17972
북구,삼각동,31,4,19,17,11479
북구,석곡동,13,3,7,3,880
북구,신안동,39,22,34,18,26439
북구,신용동,32,9,31,13,24957
북구,양산동,60,34,50,28,16556
북구,오치1동,16,10,14,13,13039
북구,오치2동,20,14,22,12,19170
북구,용봉동,127,56,124,49,19029
북구,우산동,23,3,12,9,10863
북구,운암1동,41,17,28,14,20475
북구,운암2동,40,16,26,8,16970
북구,운암3동,14,7,16,8,20755
북구,일곡동,54,15,44,17,17914
북구,임동,10,6,10,4,12682
북구,중앙동,24,5,21,6,33761
북구,중흥1동,4,3,7,6,30437
북구,중흥2동,24,9,20,11,10513
북구,중흥3동,21,7,25,8,9483
북구,풍향동,16,7,9,3,10640
서구,광천동,36,11,19,7,16194
서구,금호1동,33,9,27,15,18926
서구,금호2동,26,12,22,14,23293
서구,농성1동,10,11,14,12,13068
서구,농성2동,23,10,22,6,13142
서구,동천동,19,9,19,8,21056
서구,상무1동,66,23,68,28,19159
서구,상무2동,61,24,40,25,10927
서구,서창동,49,6,37,8,11673
서구,양3동,2,0,3,3,0
서구,양동,9,1,7,59,36804
서구,유덕동,16,7,14,8,8370
서구,치평동,112,37,99,44,246463
서구,풍암동,70,29,55,33,16307
서구,화정1동,33,13,38,18,16709
서구,화정2동,35,6,29,12,12123
서구,화정3동,22,6,19,4,7663
서구,화정4동,19,4,19,9,18488
남구,대촌동,7,4,7,6,4024
남구,송암동,29,14,29,16,4883
남구,진월동,7,18,48,25,8892
남구,주월1동,47,10,38,12,6968
남구,주월2동,17,7,12,5,5447
남구,봉선1동,29,7,34,11,7791
남구,봉선2동,67,22,40,14,10003
남구,방림1동,10,3,7,35,8370
남구,방림2동,4,3,7,52,6026
남구,양림동,57,7,43,5,7556
남구,백운1동,18,6,16,5,7653
남구,사직동,19,5,10,5,6099
남구,백운2동,14,9,15,7,6572
남구,월산동,12,5,8,6,6497
남구,월산4동,20,4,9,5,5307
남구,월산5동,16,4,12,6,5812
남구,효덕동,7,3,22,8,7907
광산구,삼도동,5,0,3,3,0
광산구,도산동 ,22,13,17,10,14181
광산구,동곡동,3,3,3,3,0
광산구,본량동 ,4,0,3,3,0
광산구,비아동 ,26,10,23,13,11238
광산구,송정1동,9,4,11,5,14990
광산구,송정2동,42,14,28,13,22535
광산구,신흥동 ,6,,3,3,0
광산구,수완동,171,49,145,59,30510
광산구,신가동,41,19,22,8,8683
광산구,신창동,75,28,62,26,18953
광산구,어룡동 ,63,20,46,27,13601
광산구,우산동,38,24,43,30,14761
광산구,운남동,44,16,23,15,18565
광산구,월곡1동,14,6,19,8,6756
광산구,월곡2동,34,19,28,20,9501
광산구,임곡동,4,3,3,5,0
광산구,첨단1동,39,19,33,23,28264
광산구,첨단2동,103,51,83,51,20362
광산구,평동,31,17,13,19,3521
광산구,하남동,73,38,54,37,14281
